"","SRR11902288","SRR11902289","SRR11902290","SRR11902202","SRR11902204","SRR11902205"
"0610005C13Rik",40.22004944,26.3295356,66.48941706,57.88347628,39.55193992,35.81999204
"0610006L08Rik",0,0,0,0,0,0
"0610009B22Rik",826.49999508,909.44001388,986.43000938,1032.4800003,946.93999868,796.5600018
"0610009E02Rik",56.71421004,81.68131954,99.43429668,76.4772561,89.36645206,67.34523122
"0610009L18Rik",79.44000652,86.9199914,170.58001286,165.21999344,133.12001154,103.38000434
"0610010K14Rik",144.34864234,297.93707524,340.34269694,177.5628561,167.0772212,177.62606854
"0610012D04Rik",0,0,0,5.60000034,3.06000432,0
"0610012G03Rik",1092.5799904,1192.0800027,1652.3800131,1535.1399959,1212.3200021,1117.499998
"0610025J13Rik",0,0,0,0,0,0
"0610030E20Rik",1365.34696884,2287.32964288,805.01389258,421.39350028,975.6771739,2100.1493577
"0610031O16Rik",0,0,0,0,0,0
"0610033M10Rik",0,0,0,0,0,0
"0610038B21Rik",18.499572,16.559712,21.1094208,37.3877088,38.5836672,25.1392128
"0610039K10Rik",2.18737232,2.0568912,0,3.9792648,0,0
"0610040B10Rik",101.03996086,91.0799854,124.95998228,252.57421556,155.3010815,227.25500356
"0610040F04Rik",88.67891696,53.10213568,80.84539788,139.57364072,107.48972228,113.67710552
"0610040J01Rik",186.95998048,203.10000592,168.43999568,229.70000488,168.46000296,192.24000032
"0610043K17Rik",34.70000124,43.90000052,46.65999744,32.2399948,28.22000488,23.5999932
"0710001A04Rik",0,0,0,0,0,0
"1010001B22Rik",7.94000272,7.56000348,14.04999422,14.46999834,11.53000484,8.97001058
"1100001I12Rik",0,0,0,0,0,0
"1110002E22Rik",355.96380444,371.02951248,426.45346326,344.65804002,340.00365228,338.01271248
"1110002J07Rik",61.39998942,52.68000768,61.39998942,52.42001712,59.05998522,55.539993
"1110002L01Rik",320.93404912,372.73481678,439.13993292,484.95415332,378.2615488,321.8806698
"1110002O04Rik",6.07999464,6.11999952,17.97999748,22.68000488,19.43999448,24.22000032
"1110003F10Rik",1.40761248,1.24379088,1.74092528,1.11016736,1.49981808,2.04457712
"1110004F10Rik",4328.53470592,5108.31838462,5619.0900155,6160.51186796,5611.39548666,5268.66283488
"1110006O24Rik",13.4400035,8.160006,9.559997,50.979996,30.519996,17.139993
"1110008E08Rik",0,6.12000702,2.04000234,0,2.04000234,0
"1110013H19Rik",25.80000368,21.53999914,25.19999548,30.0599948,44.64000618,43.50000402
"1110015O18Rik",20.2399744,21.37999452,36.12000996,39.68001462,32.83998264,12.240011
"1110017D15Rik",48.16000256,61.30000634,79.83998868,90.22000224,56.55999822,46.27999372
"1110018N20Rik",381.04612878,325.42971654,104.16389882,224.12579674,129.94258962,131.8503591
"1110019B22Rik",0,0,0,0,0,0
"1110019D14Rik",165.8600044,222.7399801,210.79999838,125.1599978,133.98210126,136.20000934
"1110020A21Rik",30.2000095,44.34001258,21.23999288,39.0800038,35.28000402,26.4200002
"1110025L11Rik",0,0,0,0,0,0
"1110025M09Rik",41.2400016,40.6799937,57.1999959,72.2800071,59.7999996,60.4000044
"1110028F11Rik",0,0,2.3400009,6.11999334,0,0
"1110028F18Rik",0,0,0,0,0,0
"1110032A03Rik",963.55443446,1524.96067514,928.39069438,1092.25048474,1261.24053714,1159.92056626
"1110032F04Rik",874.75216228,830.03061664,1048.15029844,1253.30150592,1172.96999472,1216.98594176
"1110035H17Rik",0,0,0,0,0,0
"1110038B12Rik",529.3765448,506.31516834,685.49215688,688.0348872,519.28808918,644.89452076
"1110038F14Rik",617.36000456,649.64996796,977.7999669,1003.88998654,757.2421963,619.64001962
"1110046J04Rik",234.80272016,258.07298788,215.82616312,278.19236114,216.3771779,252.79574638
"1110057P08Rik",0,0,0,0,0,0
"1110059E24Rik",654.6800024,811.90097218,903.01003422,903.31131114,801.13004758,890.8746639
"1110059G10Rik",787.18002518,1023.47998132,880.5799862,1135.53999196,964.37999856,960.14001804
"1110060G06Rik",0,3.76000492,0,5.07999964,2.04000182,2.9199983
"1110065P20Rik",471.25300322,425.16075782,756.08861138,694.90502566,487.72550858,543.14699598
"1190001M18Rik",0,0,2.040001,0,0,2.040001
"1190005I06Rik",169.55580646,102.67999344,230.29726386,231.43735568,217.90000612,131.17999976
"1190007I07Rik",237.40001016,230.18000036,449.35316434,405.24001188,314.14001666,291.60659564
"1190028D05Rik",0,0,0,0,0,0
"1200007C13Rik",0,0,0,0,0,0
"1300002E11Rik",208.39847862,423.0655542,179.21231188,415.25936194,86.24715404,268.4705687
"1300014J16Rik",106.09997976,88.86001152,111.4600236,116.42001576,111.5000064,94.15999728
"1500002C15Rik",187.89704318,214.97729428,227.46114458,226.37705828,200.77064236,181.0707913
"1500002F19Rik",9.21679084,14.3141121,12.25597024,14.55323728,14.20707478,8.80570136
"1500004A13Rik",625.9567239,844.44103314,956.35486032,3715.53132586,793.68180828,941.05821546
"1500005C15Rik",4.07999844,10.1000466,6.06002796,6.1200216,2.04002316,7.7800212
"1500009L16Rik",590.52002392,653.31999478,758.70997786,802.27999378,697.90999498,500.61000194
"1500011B03Rik",3993.09458666,4173.46103286,5768.15960814,5308.34508154,4709.93976176,4356.7974247
"1500012K07Rik",19.8095143,11.29139384,21.86341132,26.82978508,22.86702056,15.75397512
"1500015A07Rik",240.0199875,299.6489212,333.2604991,391.6602784,279.3877321,290.82
"1500015L24Rik",107.35907584,96.09685834,93.21724784,139.43942544,91.8356026,100.88084242
"1500026H17Rik",165.2200206,239.67998734,161.20001666,202.8200235,224.43996922,256.75999274
"1500032F14Rik",7.6799942,4.06000324,9.18000034,8.1600068,4.0799887,6.03999484
"1500035N22Rik",31.2000046,46.45998962,65.47998292,63.74000212,40.28001252,49.9599958
"1520401A03Rik",0,0,33.4199844,29.86001496,32.70668016,0
"1600002D24Rik",0,0,0,0,0,0
"1600010M07Rik",11.2286244,13.9999916,13.15999912,15.50000704,22.01998454,17.63999664
"1600012H06Rik",1298.16743672,1440.18289804,1490.2908812,1684.57991982,1411.3600474,1446.2445776
"1600012P17Rik",0,0,0,0,0,0
"1600014C10Rik",1664.8800667,1991.75995648,2193.0599924,1980.4399959,2118.31998472,1697.88005406
"1600014C23Rik",2.03999796,0,6.32000404,0,0,6.93999824
"1600017P15Rik",0,0,7.9547132,0,3.194744,1.529999
"1600019K03Rik",0,0,0,0,0,0
"1600020E01Rik",381.9205973,495.07490714,567.02884526,526.23734182,519.73069582,388.12757372
"1600022D10Rik",0,0,0,0,0,0
"1600023N17Rik",22.31999388,28.5399912,22.44000814,44.2800054,32.57999464,16.24000984
"1600025M17Rik",0,0,0,0,0,0
"1600027J07Rik",0,0,0,0,0,0
"1600029O15Rik",113.01922992,136.11203136,127.09529862,91.49884884,106.73269566,86.56742562
"1700001C19Rik",4.07999478,1.94000436,3.11999028,9.1800126,2.04001362,2.04001362
"1700001D01Rik",0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0
"1700001G11Rik",20.0986372,21.40288276,37.0576555,38.59469976,20.14070722,21.7516439
"1700001G17Rik",40.08000864,10.0599768,20.15998384,13.93999744,20.17997792,14.1200112
