"","gene_id","gene_name"
"1","ENSMUSG00000079800.3","ENSMUSG00000079800"
"2","ENSMUSG00000095092.2","ENSMUSG00000095092"
"3","ENSMUSG00000079192.3","ENSMUSG00000079192"
"4","ENSMUSG00000079794.3","ENSMUSG00000079794"
"5","ENSMUSG00000094799.2","ENSMUSG00000094799"
"6","ENSMUSG00000095250.2","ENSMUSG00000095250"
"7","ENSMUSG00000095787.2","ENSMUSG00000095787"
"8","ENSMUSG00000096100.2","ENSMUSG00000096100"
"9","ENSMUSG00000094054.2","ENSMUSG00000094054"
"10","ENSMUSG00000095672.2","ENSMUSG00000095672"
"11","ENSMUSG00000079190.4","ENSMUSG00000079190"
"12","ENSMUSG00000094514.2","ENSMUSG00000094514"
"13","ENSMUSG00000094915.2","ENSMUSG00000094915"
"14","ENSMUSG00000079808.4","ENSMUSG00000079808"
"15","ENSMUSG00000096776.2","Vmn1r186"
"16","ENSMUSG00000096244.2","ENSMUSG00000096244"
"17","ENSMUSG00000079222.3","ENSMUSG00000079222"
"18","ENSMUSG00000094874.2","ENSMUSG00000094874"
"19","ENSMUSG00000095500.2","ENSMUSG00000095500"
"20","ENSMUSG00000095450.2","ENSMUSG00000095450"
"21","ENSMUSG00000094728.2","ENSMUSG00000094728"
"22","ENSMUSG00000062783.3","Csprs"
"23","ENSMUSG00000096808.2","ENSMUSG00000096808"
"24","ENSMUSG00002075400.1","ENSMUSG00002075400"
"25","ENSMUSG00000094741.2","Pramel39"
"26","ENSMUSG00000074720.2","ENSMUSG00000074720"
"27","ENSMUSG00000094337.8","ENSMUSG00000094337"
"28","ENSMUSG00000095570.2","ENSMUSG00000095570"
"29","ENSMUSG00000096728.2","ENSMUSG00000096728"
"30","ENSMUSG00002074899.1","ENSMUSG00002074899"
"31","ENSMUSG00002076890.1","ENSMUSG00002076890"
"32","ENSMUSG00002074970.1","ENSMUSG00002074970"
"33","ENSMUSG00002075729.1","ENSMUSG00002075729"
"34","MSTRG.8","ENSMUSG00000095742"
"35","ENSMUSG00000095666.2","ENSMUSG00000095666"
"36","ENSMUSG00000096680.2","ENSMUSG00000096680"
"37","ENSMUSG00000095505.2","AA792892"
"38","ENSMUSG00000094303.2","ENSMUSG00000094303"
"39","ENSMUSG00000096236.2","ENSMUSG00000096236"
"40","ENSMUSG00000096756.2","ENSMUSG00000096756"
"41","ENSMUSG00000094722.2","ENSMUSG00000094722"
"42","ENSMUSG00000095728.2","ENSMUSG00000095728"
"43","ENSMUSG00000095076.2","ENSMUSG00000095076"
"44","ENSMUSG00000094836.2","ENSMUSG00000094836"
"45","ENSMUSG00000094383.2","ENSMUSG00000094383"
"46","ENSMUSG00000094474.2","ENSMUSG00000094474"
"47","ENSMUSG00000094791.2","ENSMUSG00000094791"
"48","ENSMUSG00000096550.2","Gm16367"
"49","ENSMUSG00000094172.2","ENSMUSG00000094172"
"50","ENSMUSG00000094887.2","ENSMUSG00000094887"
"51","ENSMUSG00000091585.3","ENSMUSG00000091585"
"52","ENSMUSG00000095763.2","ENSMUSG00000095763"
"53","ENSMUSG00000095523.2","ENSMUSG00000095523"
"54","ENSMUSG00000095475.2","ENSMUSG00000095475"
"55","ENSMUSG00000094855.2","ENSMUSG00000094855"
"56","ENSMUSG00000095019.2","ENSMUSG00000095019"
"57","MSTRG.25","ENSMUSG00000095041"
"58","ENSMUSG00000102693.2","4933401J01Rik"
"59","ENSMUSG00000064842.3","Gm26206"
"60","MSTRG.10","Xkr4"
"61","MSTRG.11","Gm18956"
"62","MSTRG.12","Gm37180"
"63","MSTRG.13","Gm37363"
"64","MSTRG.14","Gm37686"
"65","MSTRG.15","Gm1992"
"66","MSTRG.16","Gm37329"
"67","MSTRG.17","Gm7341"
"68","MSTRG.18","Gm38148"
"69","MSTRG.19","Gm19938"
"70","ENSMUSG00000102348.2","Gm10568"
"71","ENSMUSG00000102592.2","Gm38385"
"72","ENSMUSG00000088333.4","Gm27396"
"73","ENSMUSG00000102343.2","Gm37381"
"74","ENSMUSG00000025900.14","Rp1"
"75","ENSMUSG00000102948.2","Gm6101"
"76","ENSMUSG00000104123.2","Gm37483"
"77","MSTRG.29","Sox17"
"78","MSTRG.30","Gm37587"
"79","ENSMUSG00000102269.2","Gm7357"
"80","ENSMUSG00000118917.1","Gm22307"
"81","ENSMUSG00000103003.2","Gm38076"
"82","ENSMUSG00000104328.2","Gm37323"
"83","ENSMUSG00000102735.2","Gm7369"
