"","gene_name","logFC","logCPM","F","PValue","FDR","gene_id"
"1","Igf2bp3",5.79636855501783,-1.20486310159678,132.103711199391,5.62962863853635e-07,0.0163253600888916,"MSTRG.19818"
"2","Robo2",3.57658105789087,5.85280450950517,294.756973930235,1.86326105588291e-06,0.0270163536797743,"MSTRG.9545"
"3","Las1l",1.69814750398368,5.1249060140812,202.976970585486,5.76653334588076e-06,0.0427838714065473,"MSTRG.26359"
"4","Sppl2a",-1.76430102847958,5.61057018466076,201.426163975645,5.90142713976996e-06,0.0427838714065473,"MSTRG.13731"
"5","Amot",1.34325092445886,4.14187620125084,138.540123699897,1.81247875068221e-05,0.0948465702202759,"MSTRG.26634"
"6","Gm6978",-4.05333054023337,-0.986962680190458,121.425198820211,1.96241050147128e-05,0.0948465702202759,"MSTRG.11469"
"7","Sgms2",5.59053992911009,1.23694685349028,112.728781404841,3.51447093541206e-05,0.145594489508592,"MSTRG.15743"
"8","Kcnu1",5.37359269985508,0.614718052086039,85.8388374160795,6.98088353447873e-05,0.235429207994725,"MSTRG.23173"
"9","Mroh7",2.0704337565152,1.24833881292396,86.3953133090152,7.30667565072081e-05,0.235429207994725,"MSTRG.16643"
"10","Ncoa7",-2.3874222037675,4.85457354730633,78.9968158367591,9.46320737875369e-05,0.242073873580292,"MSTRG.2056"
"11","Arid5b",-1.05119734182574,5.59753446602838,75.0211967987057,0.000109879464286423,0.242073873580292,"MSTRG.2382"
"12","Sgk1",1.22180245244428,6.56027805919767,73.9698515047998,0.000114448661997495,0.242073873580292,"MSTRG.1979"
"13","Mdm4",-1.49653033488628,5.37291203222775,73.8772299194488,0.000114863252969422,0.242073873580292,"MSTRG.1115"
"14","Inmt",1.55526800140754,0.958904721902964,73.3882758751145,0.000117238821713598,0.242073873580292,"MSTRG.19877"
"15","Asb4",-2.03919851800844,-0.44581714495829,71.2760931994622,0.000129350000049539,0.242073873580292,"ENSMUSG00000042607.16"
"16","Nfil3",-1.16558957267378,3.31076868351689,70.1090475770559,0.000133562604823776,0.242073873580292,"MSTRG.6343"
"17","Ppfia2",1.66536927484387,3.3557305076101,67.8920690228457,0.000146484023472866,0.242553117782584,"MSTRG.2862"
"18","Zbtb38",1.48645147556119,4.90213676303144,67.24313864502,0.000150555402603073,0.242553117782584,"MSTRG.25377"
"19","Slc5a3",-0.860408540781468,5.33847594191919,64.9106999347913,0.000166564265735171,0.254220902213381,"MSTRG.9645"
"20","Nfia",-1.01271959376617,4.93600051341737,59.8220454239036,0.000210190935693545,0.304766347208856,"MSTRG.16575"
"21","Gm18726",8.40163616341003,-1.33240305932605,138.219385561909,0.000230065672293483,0.314495167176462,"MSTRG.5069"
"22","Fosb",-0.913425862627922,3.43525262321602,57.2068883689553,0.000238590767884485,0.314495167176462,"MSTRG.21088"
"23","Mir1900",-2.9034236014219,-3.72481457889161,33.2722044917647,0.000256609547705769,0.323540011909547,"MSTRG.24459"
"24","Oacyl",1.15454167616306,1.44896224474086,54.5585776403704,0.00027290204968917,0.329745272455677,"ENSMUSG00000046610.16"
"25","Arrdc2",1.43589839608094,2.62750920517456,53.6084827567673,0.000286630374509614,0.332479769216172,"MSTRG.23502"
"26","Usp2",0.663822835143424,6.21020385628654,52.2889523770251,0.000307387507247531,0.34284347394889,"MSTRG.24710"
"27","Gm30571",1.3499977989012,-0.183859669085001,51.0195042446275,0.000330705191661612,0.355189624185004,"MSTRG.10219"
"28","Cenpk",-1.66820406374268,-0.741036490710645,48.9244170448406,0.000375348964927569,0.379064416498173,"MSTRG.6876"
"29","Net1",0.751706950680338,5.54464850732376,48.1233477797057,0.000387708375669936,0.379064416498173,"MSTRG.5899"
"30","Fam107a",-0.592061884891937,8.34997046764068,47.1758070490134,0.000409764855496032,0.379064416498173,"MSTRG.7066"
"31","Asxl2",1.36770211705401,3.92516242871692,47.0558682586558,0.000412676131799667,0.379064416498173,"MSTRG.4875"
"32","Cldn5",-0.943059153268232,4.54841240871906,45.2304052754689,0.000460533505468101,0.379064416498173,"MSTRG.9125"
"33","Dbp",1.56237745697641,5.18213593321553,45.2167092163648,0.000460919449732456,0.379064416498173,"MSTRG.21567"
"34","Gm17084",4.23731207376684,-1.57670546616681,34.1030313893211,0.000471469213466722,0.379064416498173,"MSTRG.6157"
"35","Spata24",1.98819138324917,-0.789549497348712,44.1232893486149,0.000503670266051288,0.379064416498173,"MSTRG.11166"
"36","Nectin1",-0.701808294958921,5.08972722701306,43.4014044055161,0.000516137893538671,0.379064416498173,"MSTRG.24707"
"37","Fosl2",-1.11723270578731,5.27718256044892,43.1327368083691,0.000525041866933991,0.379064416498173,"MSTRG.17831"
"38","Tbc1d13",-0.994678092823086,4.43861371938485,42.4900481443669,0.000547182537493518,0.379064416498173,"MSTRG.12825"
"39","Wdr26",1.15054128254745,5.88135475193322,42.1942217602597,0.000557788512074494,0.379064416498173,"MSTRG.1674"
"40","Sgsm1",-0.626294329445992,6.93393385232887,41.2947892787823,0.00059175662903383,0.379064416498173,"MSTRG.18641"
"41","S100a9",-7.21580413241928,-2.37661921300217,86.4293656619566,0.000603449244028823,0.379064416498173,"ENSMUSG00000056071.13"
"42","Gm807",7.39769425400202,-2.22093659635663,85.9311865374001,0.000608095360047084,0.379064416498173,"ENSMUSG00000097848.4"
"43","Flrt1",-2.23246267369594,1.48950364042086,40.6685300331352,0.000617586334272852,0.379064416498173,"MSTRG.11853"
"44","Gm10614",7.11847488120513,-2.4523733887391,84.7474540979166,0.000628950212349786,0.379064416498173,"MSTRG.24147"
"45","Snhg3",0.872288090367127,1.63125112053618,39.1917879513864,0.000682802185854124,0.379064416498173,"MSTRG.17053"
"46","Ccl17",1.40290662837593,-0.127366436508953,39.1458599333667,0.000687153671093039,0.379064416498173,"MSTRG.23834"
"47","Atosa",1.0018434136507,3.82184652714401,39.0244828627546,0.000690592095466377,0.379064416498173,"MSTRG.25184"
"48","Krt18",7.15217221729467,-2.42559920868257,78.3948850651915,0.000734574115601148,0.379064416498173,"MSTRG.8874"
"49","Gm15459",-0.54194481573236,8.57805870619439,38.1243908774846,0.000735817652756859,0.379064416498173,"MSTRG.17534"
"50","Znhit6",0.935888312137631,4.00133359386126,38.010922101714,0.000741796874538573,0.379064416498173,"MSTRG.15863"
"51","Ciart",1.55117522367835,2.77917850161941,37.5111536840338,0.000768977703191842,0.379064416498173,"MSTRG.15244"
"52","Or5m3b",-6.7988371503147,-2.71345171962065,76.5770963128242,0.000779581355024985,0.379064416498173,"ENSMUSG00000045392.9"
"53","Gm8219",2.59735201848305,-3.74449535903959,23.1924919426943,0.000791522195095703,0.379064416498173,"ENSMUSG00000112551.2"
"54","Rbfox1",-0.946633175282699,6.34878407798175,36.9295833634375,0.000802116801129746,0.379064416498173,"MSTRG.8964"
"55","Cd46",1.43458254130338,3.90409445037099,36.7047227955526,0.000815472542614779,0.379064416498173,"MSTRG.1837"
"56","Rccd1",0.586589620325295,3.71670944532251,36.2307301218919,0.000844596068964926,0.379064416498173,"MSTRG.21981"
"57","Gm9176",2.07812522185937,-2.1281461512664,35.7487893339933,0.000865998078196232,0.379064416498173,"ENSMUSG00000112850.2"
"58","Lsr",-0.989843448962482,2.47070707449461,35.5233002744609,0.000890764479788333,0.379064416498173,"MSTRG.21356"
"59","Dusp4",-0.929102669919314,3.20488445973267,35.3297099501841,0.000903873612201688,0.379064416498173,"MSTRG.23228"
"60","Gm38393",-4.08876130742617,0.442711526927355,35.531714747968,0.000922236287677335,0.379064416498173,"MSTRG.21752"
"61","Xdh",0.881104530471996,3.87441710525876,34.8809492551801,0.000935452302147603,0.379064416498173,"MSTRG.10765"
"62","Dalir",3.67602748661896,1.28330862205394,34.29390474816,0.00098464582208474,0.379064416498173,"MSTRG.334"
"63","Npas4",-0.726734393322622,4.25502134552537,34.1838394202849,0.000987474525736412,0.379064416498173,"MSTRG.11726"
"64","Enc1",-0.448731910218775,9.88880956745476,34.1763395327912,0.000988053201509118,0.379064416498173,"MSTRG.6804"
"65","ENSMUSG00000120777",1.66658759121828,1.36305790322363,34.1580474754026,0.000990037823385194,0.379064416498173,"MSTRG.9353"
"66","Fzd4",0.605507360557931,4.1494763297603,33.227528945426,0.0010652602902099,0.379064416498173,"MSTRG.22076"
"67","Asah2",-0.924486359657218,4.09064086016087,33.1468770969649,0.00107218679032549,0.379064416498173,"MSTRG.12102"
"68","Htra4",4.13760690328225,-2.96849050040135,22.2660463083985,0.00108105646711201,0.379064416498173,"MSTRG.23150"
"69","Stxbp2",-2.24232897913501,4.1107726807408,33.0303353600049,0.0010823313380269,0.379064416498173,"MSTRG.22941"
"70","Gm31592",6.45526362548688,-2.96832801041288,65.0847784049477,0.00109430143516658,0.379064416498173,"ENSMUSG00000111657.2"
"71","Ints6l",2.78886410865834,4.96692504316186,32.84474380987,0.00109867090094173,0.379064416498173,"MSTRG.26144"
"72","Rbm3",1.11908200531185,6.20785749482023,32.7580770339485,0.0011064226286338,0.379064416498173,"MSTRG.25945"
